time,src_user,src_domain,source_computer,destination_computer,authentication_type,logon_type,authentication_orientation,success_failure,label
-1.9279754658769959,U620,DOM1,none,none,none,none,none,none,1
-1.927646555077199,U748,DOM1,none,none,none,none,none,none,1
-1.9263134861402742,U748,DOM1,none,none,none,none,none,none,1
-1.925562001200341,U6115,DOM1,none,none,none,none,none,none,1
-1.9216433884266026,U636,DOM1,none,none,none,none,none,none,1
-1.9185350724576615,U748,DOM1,none,none,none,none,none,none,1
-1.918142993358566,U748,DOM1,none,none,none,none,none,none,1
-1.918010122108317,U748,DOM1,none,none,none,none,none,none,1
-1.9177247756528641,U748,DOM1,none,none,none,none,none,none,1
-1.9154006178821144,U748,DOM1,none,none,none,none,none,none,1
-1.7990228284016812,U748,DOM1,none,none,none,none,none,none,1
-1.798569759220504,U748,DOM1,none,none,none,none,none,none,1
-1.7985305513105947,U748,DOM1,none,none,none,none,none,none,1
-1.7808739225479908,U748,DOM1,none,none,none,none,none,none,1
-1.7620671950947069,U748,DOM1,none,none,none,none,none,none,1
-1.7612917497653846,U748,DOM1,none,none,none,none,none,none,1
-1.7610477894370584,U748,DOM1,none,none,none,none,none,none,1
-1.760481452960587,U748,DOM1,none,none,none,none,none,none,1
-1.759949967959591,U748,DOM1,none,none,none,none,none,none,1
-1.759675512590224,U748,DOM1,none,none,none,none,none,none,1
-1.7586038297193627,U1723,DOM1,none,none,none,none,none,none,1
-1.7585689782438876,U1723,DOM1,none,none,none,none,none,none,1
-1.7577238299636149,U1723,DOM1,none,none,none,none,none,none,1
-1.7547854149376154,U1723,DOM1,none,none,none,none,none,none,1
-1.7454800709857472,U748,DOM1,none,none,none,none,none,none,1
-1.2542267419911741,U748,DOM1,none,none,none,none,none,none,1
-1.2531071383415346,U748,DOM1,none,none,none,none,none,none,1
-1.2524972375207193,U748,DOM1,none,none,none,none,none,none,1
-1.250643574668884,U748,DOM1,none,none,none,none,none,none,1
-1.2473065458921373,U748,DOM1,none,none,none,none,none,none,1
-1.245407140478741,U748,DOM1,none,none,none,none,none,none,1
-1.2453897147410034,U748,DOM1,none,none,none,none,none,none,1
-1.2453766454377002,U748,DOM1,none,none,none,none,none,none,1
-1.244755853530799,U737,DOM1,none,none,none,none,none,none,1
-1.241161795122423,U737,DOM1,none,none,none,none,none,none,1
-1.2381231821044323,U1723,DOM1,none,none,none,none,none,none,1
-1.2279770463067259,U1723,DOM1,none,none,none,none,none,none,1
-1.2279029869213411,U1723,DOM1,none,none,none,none,none,none,1
-1.2260732844588953,U1723,DOM1,none,none,none,none,none,none,1
-1.2035657659535925,U1723,DOM1,none,none,none,none,none,none,1
-1.2024200236973466,U1723,DOM1,none,none,none,none,none,none,1
-1.1981855694271144,U1723,DOM1,none,none,none,none,none,none,1
-1.197057252908606,U636,DOM1,none,none,none,none,none,none,1
-1.1935917093160446,U1723,DOM1,none,none,none,none,none,none,1
-1.1901501261128724,U1723,DOM1,none,none,none,none,none,none,1
-1.18550398878859,U1723,DOM1,none,none,none,none,none,none,1
-0.9966721600125135,U737,DOM1,none,none,none,none,none,none,1
-0.9833567181637847,U825,DOM1,none,none,none,none,none,none,1
-0.983328401339961,U737,DOM1,none,none,none,none,none,none,1
-0.8734351645151253,U737,DOM1,none,none,none,none,none,none,1
-0.6763653182236075,U1653,DOM1,none,none,none,none,none,none,1
-0.6761453182846705,U1653,DOM1,none,none,none,none,none,none,1
-0.6752871007010947,U293,DOM1,none,none,none,none,none,none,1
-0.6752326452706647,U8946,DOM1,none,none,none,none,none,none,1
-0.675125912627022,U293,DOM1,none,none,none,none,none,none,1
-0.6749516552496463,U10379,C3521,none,none,none,none,none,none,1
-0.6748078929133112,U293,DOM1,none,none,none,none,none,none,1
-0.6744942296340347,U8946,DOM1,none,none,none,none,none,none,1
-0.6744071009453468,U293,DOM1,none,none,none,none,none,none,1
-0.674221952481885,U8946,DOM1,none,none,none,none,none,none,1
-0.673130665656069,U293,DOM1,none,none,none,none,none,none,1
-0.6731045270494627,U8946,DOM1,none,none,none,none,none,none,1
-0.6729411607581729,U8601,DOM1,none,none,none,none,none,none,1
-0.6727865073357518,U212,DOM1,none,none,none,none,none,none,1
-0.6721591807771989,U212,DOM1,none,none,none,none,none,none,1
-0.6717235373337594,U212,DOM1,none,none,none,none,none,none,1
-0.671542745304732,U8946,DOM1,none,none,none,none,none,none,1
-0.671333636451881,U8946,DOM1,none,none,none,none,none,none,1
-0.6711375969023332,U8946,DOM1,none,none,none,none,none,none,1
-0.6706627455489842,U4978,DOM1,none,none,none,none,none,none,1
-0.6705930425980339,U8946,DOM1,none,none,none,none,none,none,1
-0.669151062800249,U3905,DOM1,none,none,none,none,none,none,1
-0.6685934391926465,U995,DOM1,none,none,none,none,none,none,1
-0.665600568736217,U8601,DOM1,none,none,none,none,none,none,1
-0.6653958163178004,U8601,DOM1,none,none,none,none,none,none,1
-0.6646007670335233,U8601,DOM1,none,none,none,none,none,none,1
-0.6641389849834773,U8601,DOM1,none,none,none,none,none,none,1
-0.6632873020515532,U288,DOM1,none,none,none,none,none,none,1
-0.6522001764160174,U2837,DOM1,none,none,none,none,none,none,1
-0.6515205726442518,U2837,DOM1,none,none,none,none,none,none,1
-0.6514290875211294,U2837,DOM1,none,none,none,none,none,none,1
-0.6512657212298396,U349,DOM1,none,none,none,none,none,none,1
-0.6511698796722829,U2837,DOM1,none,none,none,none,none,none,1
-0.6511393846312421,U2837,DOM1,none,none,none,none,none,none,1
-0.651126315327939,U2837,DOM1,none,none,none,none,none,none,1
-0.6510740381147262,U2837,DOM1,none,none,none,none,none,none,1
-0.6510544341597715,U8946,DOM1,none,none,none,none,none,none,1
-0.6506340382368523,U2837,DOM1,none,none,none,none,none,none,1
-0.6496320583169414,U8946,DOM1,none,none,none,none,none,none,1
-0.6493118603860134,U8601,DOM1,none,none,none,none,none,none,1
-0.6482793854250617,U293,DOM1,none,none,none,none,none,none,1
-0.6475627519606038,U293,DOM1,none,none,none,none,none,none,1
-0.6471162174310782,U250,DOM1,none,none,none,none,none,none,1
-0.6467328512008514,U293,DOM1,none,none,none,none,none,none,1
-0.6464671087003533,U293,DOM1,none,none,none,none,none,none,1
-0.646066316732389,U293,DOM1,none,none,none,none,none,none,1
-0.645395425829492,U1600,DOM1,none,none,none,none,none,none,1
-0.6453344357474106,U1600,DOM1,none,none,none,none,none,none,1
-0.6445284953770475,U1600,DOM1,none,none,none,none,none,none,1
-0.6427684958655518,U349,DOM1,none,none,none,none,none,none,1
-0.6427510701278142,U349,DOM1,none,none,none,none,none,none,1
-0.6425550305782665,U8601,DOM1,none,none,none,none,none,none,1
-0.6421629514791709,U4353,DOM1,none,none,none,none,none,none,1
-0.6413918625842829,U349,DOM1,none,none,none,none,none,none,1
-0.6404617638325395,U4856,DOM1,none,none,none,none,none,none,1
-0.6381550317995273,U5087,DOM1,none,none,none,none,none,none,1
-0.6379284972089387,U5087,DOM1,none,none,none,none,none,none,1
-0.6377346358766082,U5087,DOM1,none,none,none,none,none,none,1
-0.6377150319216534,U5087,DOM1,none,none,none,none,none,none,1
-0.6373425567775126,U5087,DOM1,none,none,none,none,none,none,1
-0.6373251310397751,U5087,DOM1,none,none,none,none,none,none,1
-0.6371269132730101,U5087,DOM1,none,none,none,none,none,none,1
-0.6371116657524897,U5087,DOM1,none,none,none,none,none,none,1
-0.6366237450958374,U9763,DOM1,none,none,none,none,none,none,1
-0.6361183987014476,U9763,DOM1,none,none,none,none,none,none,1
-0.6357263196023519,U5087,DOM1,none,none,none,none,none,none,1
-0.6355738443971481,U795,DOM1,none,none,none,none,none,none,1
-0.6354867157084603,U5087,DOM1,none,none,none,none,none,none,1
-0.6340774091689334,U9947,DOM1,none,none,none,none,none,none,1
-0.6321322611939759,U9947,DOM1,none,none,none,none,none,none,1
-0.6317706771359212,U9947,DOM1,none,none,none,none,none,none,1
-0.6316007761929797,U9947,DOM1,none,none,none,none,none,none,1
-0.631515825721509,U9947,DOM1,none,none,none,none,none,none,1
-0.6313568158646536,U882,DOM1,none,none,none,none,none,none,1
-0.6309168159867797,U882,DOM1,none,none,none,none,none,none,1
-0.630842756601395,U8777,C583,none,none,none,none,none,none,1
-0.6303896874202178,U882,DOM1,none,none,none,none,none,none,1
-0.6302960240798784,U9947,DOM1,none,none,none,none,none,none,1
-0.6298124598576605,U9947,DOM1,none,none,none,none,none,none,1
-0.6295053312300357,U1450,DOM1,none,none,none,none,none,none,1
-0.6291916679507592,U9947,DOM1,none,none,none,none,none,none,1
-0.6291524600408497,U1450,DOM1,none,none,none,none,none,none,1
-0.6290086977045146,U8777,C583,none,none,none,none,none,none,1
-0.6289694897946051,U8777,C1500,none,none,none,none,none,none,1
-0.6289433511879987,U1450,DOM1,none,none,none,none,none,none,1
-0.6286623611669802,U9947,DOM1,none,none,none,none,none,none,1
-0.6285120641789935,U9947,DOM1,none,none,none,none,none,none,1
-0.6284663216174324,U8777,C3388,none,none,none,none,none,none,1
-0.6280851336044229,U1450,DOM1,none,none,none,none,none,none,1
-0.6274621634803044,U374,DOM1,none,none,none,none,none,none,1
-0.6272399853241502,U1450,DOM1,none,none,none,none,none,none,1
-0.6270526586434712,U2575,DOM1,none,none,none,none,none,none,1
-0.6268784012660954,U2575,DOM1,none,none,none,none,none,none,1
-0.6267368171469775,U1450,DOM1,none,none,none,none,none,none,1
-0.6264645399948279,U374,DOM1,none,none,none,none,none,none,1
-0.6263970152610947,U1450,DOM1,none,none,none,none,none,none,1
-0.625573649152994,U9947,DOM1,none,none,none,none,none,none,1
-0.6254560254232653,U9947,DOM1,none,none,none,none,none,none,1
-0.6251510750128577,U9947,DOM1,none,none,none,none,none,none,1
-0.625033451283129,U9947,DOM1,none,none,none,none,none,none,1
-0.6233736497636244,U3718,DOM1,none,none,none,none,none,none,1
-0.623358402243104,U9947,DOM1,none,none,none,none,none,none,1
-0.622310679761632,U2575,DOM1,none,none,none,none,none,none,1
-0.6223041451099804,U342,DOM1,none,none,none,none,none,none,1
-0.6220601847816543,U342,DOM1,none,none,none,none,none,none,1
-0.6199821655564478,U737,DOM1,none,none,none,none,none,none,1
-0.618795037173075,U737,DOM1,none,none,none,none,none,none,1
